Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
290.00	30.000	11.576	0.086386	10.498	10.757	50.216	72.045	114.05	811.12	-0.013986	110.12	0.099848	liquid	liquid, P = 30 bar
300.00	30.000	11.239	0.088976	11.650	11.917	54.150	73.771	118.12	745.23	-0.0050722	99.339	0.095075	liquid	liquid, P = 30 bar
310.00	30.000	10.874	0.091958	12.846	13.122	58.100	75.603	123.01	677.53	0.0064944	89.287	0.090433	liquid	liquid, P = 30 bar
320.00	30.000	10.472	0.095491	14.095	14.381	62.099	77.563	129.21	607.00	0.022301	79.772	0.085884	liquid	liquid, P = 30 bar
330.00	30.000	10.015	0.099853	15.414	15.714	66.197	79.708	137.77	531.82	0.045624	70.564	0.081357	liquid	liquid, P = 30 bar
340.00	30.000	9.4660	0.10564	16.837	17.154	70.495	82.181	151.57	448.29	0.084744	61.305	0.076713	liquid	liquid, P = 30 bar
350.00	30.000	8.7231	0.11464	18.456	18.800	75.265	85.531	183.70	345.54	0.17122	51.120	0.071636	liquid	liquid, P = 30 bar
350.86	30.000	8.6403	0.11574	18.613	18.961	75.723	85.928	189.14	334.73	0.18459	50.120	0.071160	liquid	liquid, P = 30 bar
350.86	30.000	1.7903	0.55856	26.091	27.767	100.82	89.218	189.25	174.70	1.9000	11.328	0.033368	vapor	vapor, P = 30 bar
360.00	30.000	1.5539	0.64355	27.281	29.212	104.89	86.479	139.74	193.46	1.5348	11.223	0.031799	vapor	vapor, P = 30 bar
370.00	30.000	1.4031	0.71269	28.381	30.519	108.47	86.219	124.18	207.90	1.2959	11.303	0.032014	vapor	vapor, P = 30 bar
380.00	30.000	1.2965	0.77129	29.409	31.723	111.68	86.884	117.38	219.46	1.1270	11.452	0.032779	vapor	vapor, P = 30 bar
390.00	30.000	1.2139	0.82382	30.406	32.878	114.68	87.938	113.92	229.30	0.99765	11.636	0.033797	vapor	vapor, P = 30 bar
400.00	30.000	1.1464	0.87230	31.390	34.007	117.54	89.201	112.14	237.99	0.89392	11.837	0.034964	vapor	vapor, P = 30 bar
410.00	30.000	1.0895	0.91784	32.370	35.124	120.30	90.592	111.33	245.82	0.80830	12.051	0.036232	vapor	vapor, P = 30 bar
420.00	30.000	1.0404	0.96115	33.352	36.236	122.98	92.069	111.15	253.00	0.73617	12.271	0.037576	vapor	vapor, P = 30 bar
