Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
350.00	30.000	8.8168	0.11342	22.618	22.958	93.589	111.69	160.46	660.04	-0.0011172	103.66	0.087665	liquid	liquid, P = 30 bar
360.00	30.000	8.5593	0.11683	24.238	24.589	98.182	114.10	165.78	605.20	0.0089418	94.243	0.084370	liquid	liquid, P = 30 bar
370.00	30.000	8.2787	0.12079	25.915	26.277	102.81	116.62	172.12	548.29	0.022250	85.264	0.081171	liquid	liquid, P = 30 bar
380.00	30.000	7.9662	0.12553	27.660	28.037	107.50	119.28	180.13	488.16	0.040955	76.565	0.078035	liquid	liquid, P = 30 bar
390.00	30.000	7.6058	0.13148	29.496	29.890	112.31	122.20	191.35	422.81	0.069812	67.926	0.074903	liquid	liquid, P = 30 bar
400.00	30.000	7.1622	0.13962	31.470	31.889	117.37	125.62	210.58	348.01	0.12231	58.941	0.071656	liquid	liquid, P = 30 bar
410.00	30.000	6.5128	0.15354	33.746	34.207	123.09	130.45	267.03	250.73	0.26457	48.311	0.068072	liquid	liquid, P = 30 bar
410.85	30.000	6.4340	0.15542	33.972	34.438	123.66	131.03	279.05	240.08	0.29061	47.187	0.067757	liquid	liquid, P = 30 bar
410.85	30.000	1.6821	0.59449	41.687	43.470	145.64	134.55	291.72	140.09	2.0540	12.754	0.041260	vapor	vapor, P = 30 bar
420.00	30.000	1.4246	0.70197	43.519	45.625	150.83	132.14	205.30	161.75	1.5738	12.364	0.038637	vapor	vapor, P = 30 bar
														
280.00	40.000	10.298	0.097106	12.351	12.740	60.788	96.758	135.06	1035.5	-0.036659	198.09	0.11496	liquid	liquid, P = 40 bar
290.00	40.000	10.115	0.098859	13.708	14.104	65.575	98.676	137.81	984.07	-0.033673	180.48	0.11081	liquid	liquid, P = 40 bar
300.00	40.000	9.9276	0.10073	15.093	15.496	70.296	100.68	140.74	932.96	-0.030327	164.81	0.10677	liquid	liquid, P = 40 bar
310.00	40.000	9.7337	0.10274	16.508	16.919	74.961	102.76	143.88	882.04	-0.026542	150.75	0.10287	liquid	liquid, P = 40 bar
