Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	40.000	11.937	0.083771	9.3230	9.6581	46.063	70.433	109.95	889.62	-0.022591	123.67	0.10568	liquid	liquid, P = 40 bar
290.00	40.000	11.629	0.085990	10.430	10.774	49.978	72.046	113.25	826.57	-0.015981	111.99	0.10082	liquid	liquid, P = 40 bar
300.00	40.000	11.303	0.088475	11.571	11.925	53.879	73.749	117.02	762.78	-0.0078584	101.27	0.096120	liquid	liquid, P = 40 bar
310.00	40.000	10.952	0.091307	12.751	13.116	57.787	75.546	121.46	697.80	0.0024356	91.327	0.091577	liquid	liquid, P = 40 bar
320.00	40.000	10.570	0.094607	13.979	14.357	61.725	77.448	126.88	630.95	0.016030	81.988	0.087159	liquid	liquid, P = 40 bar
330.00	40.000	10.144	0.098578	15.265	15.659	65.732	79.486	133.90	561.14	0.035041	73.067	0.082821	liquid	liquid, P = 40 bar
340.00	40.000	9.6527	0.10360	16.630	17.045	69.867	81.730	143.94	486.49	0.064000	64.333	0.078480	liquid	liquid, P = 40 bar
350.00	40.000	9.0483	0.11052	18.119	18.561	74.261	84.374	161.16	403.03	0.11501	55.385	0.073978	liquid	liquid, P = 40 bar
360.00	40.000	8.1810	0.12224	19.864	20.353	79.306	88.282	207.42	298.91	0.23910	45.111	0.068999	liquid	liquid, P = 40 bar
366.52	40.000	6.9036	0.14485	21.628	22.207	84.404	97.434	569.62	179.54	0.65304	33.768	0.069012	liquid	liquid, P = 40 bar
366.52	40.000	3.1758	0.31488	25.439	26.698	96.657	104.84	828.25	148.50	1.7264	15.141	0.058182	vapor	vapor, P = 40 bar
370.00	40.000	2.6119	0.38286	26.580	28.111	100.50	95.014	270.09	165.74	1.6060	13.730	0.042820	vapor	vapor, P = 40 bar
