Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
475.00	5.0000	0.13062	7.6559	53.886	57.714	191.12	135.26	144.97	261.48	0.60841	11.732	0.039449	vapor	vapor, P = 5 bar
480.00	5.0000	0.12910	7.7457	54.569	58.442	192.64	136.39	146.05	263.05	0.58949	11.850	0.040235	vapor	vapor, P = 5 bar
485.00	5.0000	0.12763	7.8352	55.257	59.175	194.16	137.50	147.12	264.62	0.57143	11.967	0.041028	vapor	vapor, P = 5 bar
490.00	5.0000	0.12619	7.9246	55.951	59.913	195.68	138.62	148.19	266.16	0.55418	12.084	0.041828	vapor	vapor, P = 5 bar
495.00	5.0000	0.12479	8.0137	56.650	60.656	197.19	139.72	149.25	267.70	0.53769	12.201	0.042637	vapor	vapor, P = 5 bar
500.00	5.0000	0.12342	8.1027	57.354	61.405	198.69	140.82	150.31	269.22	0.52191	12.318	0.043454	vapor	vapor, P = 5 bar
505.00	5.0000	0.12208	8.1915	58.064	62.160	200.19	141.91	151.36	270.72	0.50680	12.434	0.044278	vapor	vapor, P = 5 bar
510.00	5.0000	0.12077	8.2801	58.779	62.919	201.69	142.99	152.41	272.22	0.49233	12.550	0.045111	vapor	vapor, P = 5 bar
515.00	5.0000	0.11950	8.3685	59.499	63.684	203.18	144.06	153.45	273.70	0.47845	12.666	0.045951	vapor	vapor, P = 5 bar
520.00	5.0000	0.11825	8.4568	60.225	64.454	204.67	145.13	154.49	275.17	0.46514	12.782	0.046800	vapor	vapor, P = 5 bar
525.00	5.0000	0.11703	8.5450	60.956	65.229	206.15	146.19	155.52	276.62	0.45237	12.897	0.047656	vapor	vapor, P = 5 bar
530.00	5.0000	0.11583	8.6330	61.692	66.009	207.63	147.24	156.54	278.07	0.44010	13.013	0.048520	vapor	vapor, P = 5 bar
535.00	5.0000	0.11467	8.7209	62.434	66.794	209.11	148.29	157.56	279.50	0.42831	13.128	0.049392	vapor	vapor, P = 5 bar
540.00	5.0000	0.11353	8.8086	63.180	67.584	210.58	149.33	158.57	280.93	0.41698	13.243	0.050272	vapor	vapor, P = 5 bar
545.00	5.0000	0.11241	8.8962	63.932	68.380	212.04	150.36	159.58	282.34	0.40607	13.358	0.051160	vapor	vapor, P = 5 bar
550.00	5.0000	0.11131	8.9837	64.688	69.180	213.50	151.38	160.58	283.75	0.39558	13.472	0.052056	vapor	vapor, P = 5 bar
555.00	5.0000	0.11024	9.0711	65.450	69.985	214.96	152.40	161.57	285.14	0.38547	13.587	0.052960	vapor	vapor, P = 5 bar
560.00	5.0000	0.10919	9.1584	66.217	70.796	216.42	153.40	162.55	286.52	0.37573	13.701	0.053872	vapor	vapor, P = 5 bar
565.00	5.0000	0.10816	9.2456	66.988	71.611	217.86	154.40	163.53	287.90	0.36634	13.815	0.054791	vapor	vapor, P = 5 bar
570.00	5.0000	0.10715	9.3326	67.765	72.431	219.31	155.40	164.51	289.26	0.35729	13.929	0.055719	vapor	vapor, P = 5 bar
