Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
380.00	20.000	8.9765	0.11140	25.769	27.997	102.16	119.04	157.30	772.69	-0.18126	109.74	0.094052	liquid	liquid, P = 20 MPa
390.00	20.000	8.7992	0.11365	27.311	29.584	106.28	121.33	160.08	739.20	-0.14741	102.69	0.091898	liquid	liquid, P = 20 MPa
400.00	20.000	8.6189	0.11602	28.878	31.199	110.37	123.62	162.88	706.89	-0.11118	96.170	0.089915	liquid	liquid, P = 20 MPa
410.00	20.000	8.4355	0.11855	30.471	32.841	114.43	125.92	165.67	675.82	-0.072387	90.138	0.088100	liquid	liquid, P = 20 MPa
420.00	20.000	8.2491	0.12123	32.088	34.512	118.45	128.20	168.46	646.04	-0.030858	84.547	0.086451	liquid	liquid, P = 20 MPa
430.00	20.000	8.0596	0.12408	33.729	36.211	122.45	130.47	171.24	617.58	0.013579	79.364	0.084964	supercritical	liquid, P = 20 MPa
440.00	20.000	7.8672	0.12711	35.395	37.937	126.42	132.73	173.99	590.48	0.061077	74.557	0.083634	supercritical	liquid, P = 20 MPa
450.00	20.000	7.6722	0.13034	37.084	39.690	130.36	134.98	176.71	564.80	0.11175	70.103	0.082456	supercritical	liquid, P = 20 MPa
460.00	20.000	7.4747	0.13379	38.795	41.471	134.27	137.20	179.38	540.54	0.16568	65.979	0.081424	supercritical	liquid, P = 20 MPa
470.00	20.000	7.2751	0.13745	40.529	43.278	138.16	139.40	181.99	517.75	0.22283	62.168	0.080531	supercritical	liquid, P = 20 MPa
480.00	20.000	7.0739	0.14136	42.283	45.110	142.02	141.58	184.53	496.45	0.28304	58.652	0.079771	supercritical	liquid, P = 20 MPa
490.00	20.000	6.8717	0.14552	44.057	46.968	145.85	143.73	186.96	476.68	0.34597	55.416	0.079139	supercritical	liquid, P = 20 MPa
500.00	20.000	6.6690	0.14995	45.850	48.849	149.65	145.85	189.28	458.47	0.41096	52.447	0.078628	supercritical	liquid, P = 20 MPa
510.00	20.000	6.4668	0.15464	47.660	50.753	153.42	147.94	191.45	441.88	0.47709	49.731	0.078234	supercritical	liquid, P = 20 MPa
520.00	20.000	6.2660	0.15959	49.486	52.678	157.15	149.99	193.44	426.95	0.54311	47.257	0.077953	supercritical	liquid, P = 20 MPa
530.00	20.000	6.0675	0.16481	51.325	54.621	160.86	152.02	195.23	413.70	0.60751	45.012	0.077784	supercritical	liquid, P = 20 MPa
540.00	20.000	5.8726	0.17028	53.176	56.582	164.52	154.00	196.81	402.13	0.66872	42.984	0.077724	supercritical	liquid, P = 20 MPa
550.00	20.000	5.6823	0.17599	55.037	58.557	168.14	155.96	198.18	392.21	0.72526	41.160	0.077774	supercritical	liquid, P = 20 MPa
560.00	20.000	5.4975	0.18190	56.906	60.544	171.73	157.88	199.34	383.87	0.77593	39.527	0.077935	supercritical	liquid, P = 20 MPa
570.00	20.000	5.3192	0.18800	58.783	62.543	175.26	159.76	200.34	376.99	0.81991	38.070	0.078206	supercritical	liquid, P = 20 MPa
														
280.00	30.000	10.770	0.092850	11.378	14.163	57.069	97.963	130.60	1233.6	-0.44710	255.70	0.13012	liquid	liquid, P = 30 MPa
290.00	30.000	10.627	0.094100	12.656	15.479	61.688	99.878	132.69	1193.0	-0.43192	234.68	0.12655	liquid	liquid, P = 30 MPa
300.00	30.000	10.483	0.095388	13.955	16.817	66.223	101.87	134.86	1153.4	-0.41613	216.26	0.12311	liquid	liquid, P = 30 MPa
310.00	30.000	10.339	0.096718	15.275	18.177	70.681	103.93	137.10	1114.8	-0.39975	200.02	0.11981	liquid	liquid, P = 30 MPa
320.00	30.000	10.194	0.098093	16.617	19.559	75.070	106.05	139.40	1077.2	-0.38279	185.60	0.11664	liquid	liquid, P = 30 MPa
330.00	30.000	10.049	0.099515	17.980	20.965	79.395	108.22	141.74	1040.8	-0.36525	172.73	0.11363	liquid	liquid, P = 30 MPa
