Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
280.00	5.0000	0.24040	4.1598	23.750	25.830	105.96	64.100	77.582	224.34	2.3315	7.6091	0.016485	vapor	vapor, P = 5 bar
285.00	5.0000	0.23444	4.2654	24.085	26.218	107.34	64.851	77.899	227.37	2.1890	7.7515	0.017024	vapor	vapor, P = 5 bar
290.00	5.0000	0.22887	4.3694	24.424	26.609	108.69	65.631	78.301	230.30	2.0592	7.8932	0.017570	vapor	vapor, P = 5 bar
295.00	5.0000	0.22362	4.4718	24.765	27.001	110.04	66.437	78.774	233.13	1.9406	8.0341	0.018124	vapor	vapor, P = 5 bar
300.00	5.0000	0.21868	4.5728	25.110	27.397	111.36	67.265	79.308	235.87	1.8319	8.1743	0.018686	vapor	vapor, P = 5 bar
305.00	5.0000	0.21401	4.6727	25.458	27.795	112.68	68.112	79.894	238.54	1.7319	8.3139	0.019254	vapor	vapor, P = 5 bar
310.00	5.0000	0.20958	4.7714	25.810	28.196	113.98	68.977	80.525	241.13	1.6398	8.4527	0.019829	vapor	vapor, P = 5 bar
315.00	5.0000	0.20537	4.8692	26.165	28.600	115.28	69.856	81.195	243.66	1.5547	8.5910	0.020412	vapor	vapor, P = 5 bar
320.00	5.0000	0.20136	4.9661	26.524	29.008	116.56	70.749	81.899	246.14	1.4759	8.7287	0.021001	vapor	vapor, P = 5 bar
325.00	5.0000	0.19754	5.0622	26.888	29.419	117.84	71.653	82.631	248.55	1.4028	8.8657	0.021597	vapor	vapor, P = 5 bar
330.00	5.0000	0.19389	5.1576	27.255	29.834	119.11	72.566	83.389	250.92	1.3349	9.0022	0.022201	vapor	vapor, P = 5 bar
335.00	5.0000	0.19039	5.2523	27.627	30.253	120.37	73.488	84.168	253.24	1.2716	9.1381	0.022811	vapor	vapor, P = 5 bar
340.00	5.0000	0.18704	5.3463	28.002	30.676	121.62	74.417	84.967	255.52	1.2127	9.2735	0.023429	vapor	vapor, P = 5 bar
345.00	5.0000	0.18383	5.4398	28.383	31.102	122.86	75.352	85.783	257.76	1.1577	9.4083	0.024053	vapor	vapor, P = 5 bar
350.00	5.0000	0.18074	5.5328	28.767	31.533	124.10	76.292	86.613	259.96	1.1063	9.5427	0.024684	vapor	vapor, P = 5 bar
355.00	5.0000	0.17777	5.6253	29.156	31.969	125.34	77.235	87.456	262.12	1.0581	9.6764	0.025323	vapor	vapor, P = 5 bar
360.00	5.0000	0.17491	5.7173	29.549	32.408	126.57	78.183	88.310	264.25	1.0130	9.8097	0.025968	vapor	vapor, P = 5 bar
365.00	5.0000	0.17215	5.8090	29.947	32.852	127.79	79.133	89.174	266.35	0.97073	9.9425	0.026620	vapor	vapor, P = 5 bar
370.00	5.0000	0.16949	5.9002	30.350	33.300	129.01	80.084	90.045	268.42	0.93099	10.075	0.027280	vapor	vapor, P = 5 bar
375.00	5.0000	0.16691	5.9911	30.757	33.752	130.23	81.037	90.924	270.47	0.89363	10.207	0.027946	vapor	vapor, P = 5 bar
380.00	5.0000	0.16443	6.0816	31.168	34.209	131.44	81.990	91.808	272.48	0.85847	10.338	0.028619	vapor	vapor, P = 5 bar
