Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
370.00	20.000	8.1894	0.12211	26.078	26.322	103.26	116.75	175.32	522.68	0.030062	82.673	0.079921	liquid	liquid, P = 20 bar
380.00	20.000	7.8483	0.12742	27.868	28.123	108.06	119.56	185.44	456.34	0.054351	73.595	0.076607	liquid	liquid, P = 20 bar
387.52	20.000	7.5472	0.13250	29.292	29.557	111.80	121.95	196.87	400.48	0.083608	66.635	0.074056	liquid	liquid, P = 20 bar
387.52	20.000	0.93518	1.0693	40.638	42.777	145.91	122.68	173.29	168.10	1.9174	10.393	0.030824	vapor	vapor, P = 20 bar
390.00	20.000	0.91189	1.0966	41.008	43.201	147.00	122.87	169.18	171.75	1.8207	10.431	0.030934	vapor	vapor, P = 20 bar
400.00	20.000	0.83711	1.1946	42.447	44.836	151.14	123.85	159.11	184.18	1.5254	10.611	0.031676	vapor	vapor, P = 20 bar
410.00	20.000	0.78130	1.2799	43.841	46.400	155.00	125.15	154.28	194.26	1.3196	10.816	0.032681	vapor	vapor, P = 20 bar
420.00	20.000	0.73671	1.3574	45.215	47.930	158.69	126.72	151.92	202.90	1.1641	11.033	0.033832	vapor	vapor, P = 20 bar
430.00	20.000	0.69961	1.4294	46.585	49.443	162.25	128.47	150.93	210.53	1.0406	11.256	0.035081	vapor	vapor, P = 20 bar
440.00	20.000	0.66788	1.4973	47.957	50.951	165.72	130.34	150.78	217.41	0.93934	11.481	0.036403	vapor	vapor, P = 20 bar
450.00	20.000	0.64019	1.5620	49.337	52.461	169.11	132.28	151.16	223.72	0.85451	11.709	0.037786	vapor	vapor, P = 20 bar
460.00	20.000	0.61565	1.6243	50.727	53.976	172.44	134.27	151.92	229.57	0.78220	11.937	0.039222	vapor	vapor, P = 20 bar
470.00	20.000	0.59366	1.6845	52.131	55.500	175.72	136.29	152.93	235.03	0.71977	12.165	0.040704	vapor	vapor, P = 20 bar
480.00	20.000	0.57375	1.7429	53.549	57.035	178.95	138.32	154.13	240.18	0.66528	12.393	0.042229	vapor	vapor, P = 20 bar
490.00	20.000	0.55559	1.7999	54.983	58.583	182.14	140.35	155.47	245.06	0.61730	12.621	0.043796	vapor	vapor, P = 20 bar
500.00	20.000	0.53891	1.8556	56.434	60.145	185.30	142.39	156.91	249.70	0.57473	12.848	0.045401	vapor	vapor, P = 20 bar
510.00	20.000	0.52350	1.9102	57.901	61.722	188.42	144.42	158.43	254.14	0.53671	13.075	0.047044	vapor	vapor, P = 20 bar
520.00	20.000	0.50919	1.9639	59.386	63.314	191.51	146.43	160.00	258.40	0.50255	13.301	0.048723	vapor	vapor, P = 20 bar
530.00	20.000	0.49585	2.0167	60.888	64.922	194.57	148.44	161.62	262.50	0.47172	13.526	0.050438	vapor	vapor, P = 20 bar
540.00	20.000	0.48337	2.0688	62.408	66.546	197.61	150.42	163.26	266.46	0.44374	13.751	0.052188	vapor	vapor, P = 20 bar
550.00	20.000	0.47165	2.1202	63.947	68.187	200.62	152.39	164.92	270.29	0.41827	13.974	0.053972	vapor	vapor, P = 20 bar
560.00	20.000	0.46062	2.1710	65.503	69.845	203.61	154.34	166.60	274.00	0.39497	14.198	0.055790	vapor	vapor, P = 20 bar
570.00	20.000	0.45020	2.2213	67.076	71.519	206.57	156.26	168.28	277.60	0.37360	14.420	0.057642	vapor	vapor, P = 20 bar
														
280.00	30.000	10.275	0.097320	12.398	12.690	60.960	96.710	135.35	1026.1	-0.036135	195.86	0.11429	liquid	liquid, P = 30 bar
