Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
475.00	6.0000	0.15777	6.3384	53.822	57.625	189.47	135.38	145.41	260.01	0.61330	11.759	0.039565	vapor	vapor, P = 6 bar
480.00	6.0000	0.15590	6.4144	54.507	58.355	191.00	136.50	146.47	261.63	0.59400	11.876	0.040351	vapor	vapor, P = 6 bar
485.00	6.0000	0.15408	6.4901	55.196	59.090	192.52	137.62	147.52	263.25	0.57559	11.994	0.041145	vapor	vapor, P = 6 bar
490.00	6.0000	0.15231	6.5657	55.891	59.830	194.04	138.72	148.58	264.84	0.55802	12.111	0.041947	vapor	vapor, P = 6 bar
495.00	6.0000	0.15058	6.6410	56.591	60.576	195.55	139.82	149.63	266.42	0.54124	12.228	0.042757	vapor	vapor, P = 6 bar
500.00	6.0000	0.14889	6.7162	57.297	61.327	197.06	140.91	150.67	267.98	0.52519	12.345	0.043574	vapor	vapor, P = 6 bar
505.00	6.0000	0.14725	6.7912	58.008	62.083	198.57	142.00	151.71	269.53	0.50984	12.462	0.044400	vapor	vapor, P = 6 bar
510.00	6.0000	0.14564	6.8660	58.724	62.844	200.07	143.08	152.75	271.06	0.49514	12.578	0.045233	vapor	vapor, P = 6 bar
515.00	6.0000	0.14408	6.9407	59.446	63.610	201.56	144.15	153.78	272.58	0.48106	12.694	0.046075	vapor	vapor, P = 6 bar
520.00	6.0000	0.14255	7.0151	60.172	64.381	203.05	145.21	154.80	274.09	0.46756	12.810	0.046924	vapor	vapor, P = 6 bar
525.00	6.0000	0.14105	7.0895	60.904	65.158	204.54	146.27	155.82	275.58	0.45461	12.925	0.047781	vapor	vapor, P = 6 bar
530.00	6.0000	0.13959	7.1637	61.641	65.940	206.02	147.32	156.83	277.06	0.44217	13.041	0.048646	vapor	vapor, P = 6 bar
535.00	6.0000	0.13816	7.2377	62.384	66.726	207.50	148.36	157.84	278.53	0.43024	13.156	0.049519	vapor	vapor, P = 6 bar
540.00	6.0000	0.13677	7.3117	63.131	67.518	208.97	149.40	158.84	279.98	0.41876	13.271	0.050400	vapor	vapor, P = 6 bar
545.00	6.0000	0.13540	7.3855	63.883	68.315	210.44	150.43	159.84	281.43	0.40773	13.386	0.051289	vapor	vapor, P = 6 bar
550.00	6.0000	0.13406	7.4591	64.641	69.116	211.90	151.45	160.83	282.86	0.39711	13.500	0.052186	vapor	vapor, P = 6 bar
555.00	6.0000	0.13275	7.5327	65.403	69.923	213.36	152.46	161.81	284.29	0.38690	13.615	0.053091	vapor	vapor, P = 6 bar
560.00	6.0000	0.13147	7.6061	66.171	70.735	214.82	153.46	162.79	285.70	0.37705	13.729	0.054003	vapor	vapor, P = 6 bar
565.00	6.0000	0.13022	7.6795	66.943	71.551	216.27	154.46	163.76	287.10	0.36757	13.843	0.054924	vapor	vapor, P = 6 bar
570.00	6.0000	0.12899	7.7527	67.721	72.372	217.72	155.46	164.73	288.49	0.35843	13.957	0.055852	vapor	vapor, P = 6 bar
575.00	6.0000	0.12778	7.8258	68.503	73.198	219.16	156.44	165.69	289.87	0.34961	14.071	0.056789	vapor	vapor, P = 6 bar
														
280.00	12.500	10.235	0.097708	12.484	12.606	61.267	96.625	135.90	1009.3	-0.035150	191.93	0.11310	liquid	liquid, P = 12.5 bar
285.00	12.500	10.140	0.098615	13.165	13.289	63.685	97.574	137.33	982.60	-0.033529	182.99	0.11096	liquid	liquid, P = 12.5 bar
290.00	12.500	10.045	0.099553	13.855	13.979	66.086	98.546	138.82	955.89	-0.031802	174.57	0.10884	liquid	liquid, P = 12.5 bar
295.00	12.500	9.9476	0.10053	14.551	14.677	68.472	99.540	140.36	929.19	-0.029959	166.61	0.10676	liquid	liquid, P = 12.5 bar
300.00	12.500	9.8487	0.10154	15.256	15.383	70.845	100.55	141.97	902.46	-0.027984	159.08	0.10470	liquid	liquid, P = 12.5 bar
305.00	12.500	9.7477	0.10259	15.969	16.097	73.205	101.59	143.64	875.69	-0.025862	151.93	0.10268	liquid	liquid, P = 12.5 bar
310.00	12.500	9.6447	0.10368	16.690	16.819	75.555	102.64	145.39	848.84	-0.023573	145.12	0.10069	liquid	liquid, P = 12.5 bar
315.00	12.500	9.5394	0.10483	17.420	17.551	77.895	103.71	147.21	821.90	-0.021092	138.63	0.098727	liquid	liquid, P = 12.5 bar
320.00	12.500	9.4315	0.10603	18.159	18.292	80.229	104.80	149.12	794.83	-0.018390	132.42	0.096798	liquid	liquid, P = 12.5 bar
325.00	12.500	9.3208	0.10729	18.908	19.042	82.556	105.91	151.13	767.59	-0.015432	126.47	0.094899	liquid	liquid, P = 12.5 bar
330.00	12.500	9.2069	0.10861	19.667	19.803	84.879	107.03	153.25	740.12	-0.012172	120.75	0.093030	liquid	liquid, P = 12.5 bar
335.00	12.500	9.0896	0.11002	20.437	20.575	87.201	108.17	155.50	712.37	-0.0085531	115.24	0.091190	liquid	liquid, P = 12.5 bar
